Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Domestic violence,Dating violence,Stalking
2016,110635,University of California-Berkeley,1,Main Campus,40154,10,2,1
2015,110635,University of California-Berkeley,1,Main Campus,38189,13,5,2
2014,110635,University of California-Berkeley,1,Main Campus,37565,4,0,1
